,ID,LINGUAGEM,Q1_COMPREENSAO,Q1_CORR,Q2_COMPREENSAO,Q2_CORR,Q3_COMPREENSAO,Q4_COMPREENSAO
0,1,Python,SIM,6,NÃO,3,1,1
1,2,Python,NÃO,6,NÃO,8,4,1
2,3,Python,SIM,6,NÃO,6,2,3
3,4,Python,SIM,4,SIM,9,4,1
4,5,Python,NÃO,6,SIM,10,4,3
5,6,Python,NÃO,6,SIM,9,4,1
6,7,C,NÃO,2,NÃO,4,1,1
7,8,C,SIM,6,NÃO,0,1,1
8,9,Python,NÃO,6,SIM,10,4,1
9,10,C,SIM,6,NÃO,7,1,3
10,11,C,SIM,6,NÃO,5,1,1
11,12,C,SIM,6,NÃO,0,1,1
12,13,C,NÃO,6,NÃO,0,1,1
13,14,Python,SIM,6,SIM,9,1,1
14,15,Python,NÃO,6,NÃO,7,1,1
15,16,Python,NÃO,6,NÃO,9,1,3
16,17,Python,SIM,5,NÃO,3,4,1
17,18,Python,SIM,6,SIM,9,4,1
18,19,Python,SIM,6,SIM,10,4,4
19,20,Python,NÃO,6,NÃO,4,1,1
20,21,Python,SIM,6,SIM,10,4,4
21,22,Python,NÃO,6,SIM,9,3,3
22,23,Python,SIM,6,SIM,9,4,1
23,24,Python,NÃO,1,NÃO,8,1,1
24,25,Python,SIM,5,SIM,10,4,4
25,26,C,SIM,6,SIM,8,4,4
26,27,Python,SIM,6,SIM,10,4,4
27,28,Python,SIM,6,NÃO,9,4,3
28,29,Python,SIM,6,SIM,10,4,3
29,30,Python,SIM,6,SIM,10,4,3
30,31,C,NÃO,4,NÃO,6,1,1
31,32,Python,SIM,3,NÃO,3,1,1
32,33,Python,NÃO,6,SIM,8,4,3
33,34,Python,SIM,6,SIM,6,3,3
34,35,Python,NÃO,4,SIM,10,1,1
35,36,Python,SIM,6,SIM,9,1,3
36,37,C,NÃO,3,NÃO,1,1,1
37,38,Python,SIM,6,SIM,9,4,4
38,39,Python,NÃO,6,NÃO,9,1,3
39,40,Python,SIM,6,NÃO,8,4,1
40,41,Python,SIM,6,SIM,10,4,4
41,42,C,NÃO,2,NÃO,0,1,1
42,43,Python,NÃO,6,SIM,8,4,2
43,44,Python,SIM,6,NÃO,10,4,3
44,45,Python,SIM,6,SIM,9,4,3
45,46,Python,SIM,6,SIM,9,4,4
46,47,Python,SIM,6,SIM,10,4,3
47,48,Python,SIM,6,NÃO,9,1,1
